classifier_name,dataset_name,accuracy
DTW,BeetleFly,0.7
DTW,BirdChicken,0.75
DTW,Coffee,1.0
DTW,DistalPhalanxOutlineCorrect,0.7571
DTW,DistalPhalanxTW,0.7444
DTW,ECG200,0.8
DTW,FaceFour,0.7667
DTW,GunPoint,0.9067
DTW,Herring,0.55
DTW,ItalyPowerDemand,0.9504
DTW,MoteStrain,0.8347
DTW,OliveOil,0.8667
DTW,Plane,1.0
DTW,ToeSegmentation2,0.8519
DTW,DistalPhalanxOutlineAgeGroup,0.75
OPW,BeetleFly,1.0
OPW,BirdChicken,0.6
OPW,Coffee,1.0
OPW,DistalPhalanxOutlineCorrect,0.6857
OPW,DistalPhalanxTW,0.7333
OPW,ECG200,0.9
OPW,FaceFour,0.8
OPW,GunPoint,0.9133
OPW,Herring,0.65
OPW,ItalyPowerDemand,0.9563
OPW,MoteStrain,0.7843
OPW,OliveOil,0.9
OPW,Plane,0.9619
OPW,ToeSegmentation2,0.8148
OPW,DistalPhalanxOutlineAgeGroup,0.73
TAOT,BeetleFly,1.0
TAOT,BirdChicken,0.55
TAOT,Coffee,0.5714
TAOT,DistalPhalanxOutlineCorrect,0.4286
TAOT,DistalPhalanxTW,0.5
TAOT,ECG200,0.9
TAOT,FaceFour,0.5333
TAOT,GunPoint,0.86
TAOT,Herring,0.75
TAOT,ItalyPowerDemand,0.9572
TAOT,MoteStrain,0.8562
TAOT,OliveOil,0.1667
TAOT,Plane,0.8476
TAOT,ToeSegmentation2,0.8519
TAOT,DistalPhalanxOutlineAgeGroup,0.4
TCOT,BeetleFly,1.0
TCOT,BirdChicken,0.85
TCOT,Coffee,0.8571
TCOT,DistalPhalanxOutlineCorrect,0.6714
TCOT,DistalPhalanxTW,0.7444
TCOT,ECG200,0.84
TCOT,FaceFour,0.6333
TCOT,GunPoint,0.8333
TCOT,Herring,0.55
TCOT,ItalyPowerDemand,0.8358
TCOT,MoteStrain,0.7971
TCOT,OliveOil,0.6
TCOT,Plane,1.0
TCOT,ToeSegmentation2,0.7407
TCOT,DistalPhalanxOutlineAgeGroup,0.73
OTW,BeetleFly,1.0
OTW,BirdChicken,0.6
OTW,Coffee,0.9643
OTW,DistalPhalanxOutlineCorrect,0.7143
OTW,DistalPhalanxTW,0.7333
OTW,ECG200,0.91
OTW,FaceFour,0.7333
OTW,GunPoint,0.9533
OTW,Herring,0.7
OTW,ItalyPowerDemand,0.9621
OTW,MoteStrain,0.885
OTW,OliveOil,0.8667
OTW,Plane,0.9619
OTW,ToeSegmentation2,0.8148
OTW,DistalPhalanxOutlineAgeGroup,0.71
AWSWD,BeetleFly,1.0
AWSWD,BirdChicken,0.85
AWSWD,Coffee,1.0
AWSWD,DistalPhalanxOutlineCorrect,0.7429
AWSWD,DistalPhalanxTW,0.7444
AWSWD,ECG200,0.91
AWSWD,FaceFour,0.8
AWSWD,GunPoint,0.9867
AWSWD,Herring,0.5
AWSWD,ItalyPowerDemand,0.9552
AWSWD,MoteStrain,0.9026
AWSWD,OliveOil,0.9
AWSWD,Plane,1.0
AWSWD,ToeSegmentation2,0.8519
AWSWD,DistalPhalanxOutlineAgeGroup,0.76
MSOT,BeetleFly,1.0
MSOT,BirdChicken,0.95
MSOT,Coffee,1.0
MSOT,DistalPhalanxOutlineCorrect,0.77
MSOT,DistalPhalanxTW,0.65
MSOT,ECG200,0.94
MSOT,FaceFour,0.91
MSOT,GunPoint,0.97
MSOT,Herring,0.703125
MSOT,ItalyPowerDemand,0.97
MSOT,MoteStrain,0.87
MSOT,OliveOil,0.9
MSOT,Plane,1.0
MSOT,ToeSegmentation2,0.93
MSOT,DistalPhalanxOutlineAgeGroup,0.741007194
WTK,BeetleFly,0.95
WTK,BirdChicken,0.9
WTK,Coffee,1.0
WTK,DistalPhalanxOutlineCorrect,0.806666667
WTK,DistalPhalanxTW,0.795
WTK,ECG200,0.9
WTK,FaceFour,0.954545455
WTK,GunPoint,0.993333333
WTK,Herring,0.625
WTK,ItalyPowerDemand,0.954324587
WTK,MoteStrain,0.884185304
WTK,OliveOil,0.866666667
WTK,Plane,1.0
WTK,ToeSegmentation2,0.884615385
WTK,DistalPhalanxOutlineAgeGroup,0.85
MNOT,BeetleFly,0.85
MNOT,BirdChicken,0.75
MNOT,Coffee,1.0
MNOT,DistalPhalanxOutlineCorrect,0.764492754
MNOT,DistalPhalanxTW,0.661870504
MNOT,ECG200,0.81
MNOT,FaceFour,0.727272727
MNOT,GunPoint,0.873333333
MNOT,Herring,0.609375
MNOT,ItalyPowerDemand,0.943634597
MNOT,MoteStrain,0.85942492
MNOT,OliveOil,0.833333333
MNOT,Plane,1.0
MNOT,ToeSegmentation2,0.9
MNOT,DistalPhalanxOutlineAgeGroup,0.769784173
