classifier_name,dataset_name,accuracy
DTW,BME,0.8933
DTW,BeetleFly,0.7
DTW,BirdChicken,0.75
DTW,Chinatown,0.9738
DTW,Coffee,1.0
DTW,DistalPhalanxOutlineCorrect,0.7571
DTW,DistalPhalanxTW,0.7444
DTW,ECG200,0.8
DTW,FaceFour,0.7667
DTW,Fungi,0.7957
DTW,GunPoint,0.9067
DTW,Herring,0.55
DTW,ItalyPowerDemand,0.9504
DTW,MoteStrain,0.8347
DTW,OliveOil,0.8667
DTW,Plane,1.0
DTW,SmoothSubspace,0.86
DTW,SonyAIBORobotSurface1,0.7255
DTW,SonyAIBORobotSurface2,0.8311
DTW,ToeSegmentation2,0.8519
DTW,BasicMotions,0.975
DTW,Colposcopy,0.4059
DTW,DistalPhalanxOutlineAgeGroup,0.75
DTW,ERing,0.9333
DTW,EyesOpenShut,0.4762
DTW,FingerMovements,0.57
DTW,Epilepsy,0.7826
DTW,JapaneseVowels,0.9703
DTW,Libras,0.8722
DTW,NATOPS,0.8833
DTW,PowerCons,0.8333
DTW,RacketSports,0.8289
DTW,UMD,0.8819
DTW,Wine,0.5741
DTW,SyntheticControl,0.99
DTW,ProximalPhalanxTW,0.78
DTW,TwoLeadECG,0.9043
OPW,BME,0.8533
OPW,BeetleFly,1.0
OPW,BirdChicken,0.6
OPW,Chinatown,0.9417
OPW,Coffee,1.0
OPW,DistalPhalanxOutlineCorrect,0.6857
OPW,DistalPhalanxTW,0.7333
OPW,ECG200,0.9
OPW,FaceFour,0.8
OPW,Fungi,0.8333
OPW,GunPoint,0.9133
OPW,Herring,0.65
OPW,ItalyPowerDemand,0.9563
OPW,MoteStrain,0.7843
OPW,OliveOil,0.9
OPW,Plane,0.9619
OPW,SmoothSubspace,0.9867
OPW,SonyAIBORobotSurface1,0.772
OPW,SonyAIBORobotSurface2,0.8583
OPW,ToeSegmentation2,0.8148
OPW,BasicMotions,0.75
OPW,Colposcopy,0.3663
OPW,DistalPhalanxOutlineAgeGroup,0.73
OPW,ERing,0.9222
OPW,EyesOpenShut,0.5476
OPW,FingerMovements,0.57
OPW,Epilepsy,0.7609
OPW,JapaneseVowels,0.9568
OPW,Libras,0.8389
OPW,NATOPS,0.85
OPW,PowerCons,0.9667
OPW,RacketSports,0.7434
OPW,UMD,0.6111
OPW,Wine,0.6111
OPW,SyntheticControl,0.91
OPW,ProximalPhalanxTW,0.78
OPW,TwoLeadECG,0.7594
TAOT,BME,0.7
TAOT,BeetleFly,1.0
TAOT,BirdChicken,0.55
TAOT,Chinatown,0.895
TAOT,Coffee,0.5714
TAOT,DistalPhalanxOutlineCorrect,0.4286
TAOT,DistalPhalanxTW,0.5
TAOT,ECG200,0.9
TAOT,FaceFour,0.5333
TAOT,Fungi,0.8925
TAOT,GunPoint,0.86
TAOT,Herring,0.75
TAOT,ItalyPowerDemand,0.9572
TAOT,MoteStrain,0.8562
TAOT,OliveOil,0.1667
TAOT,Plane,0.8476
TAOT,SmoothSubspace,0.98
TAOT,SonyAIBORobotSurface1,0.5591
TAOT,SonyAIBORobotSurface2,0.8153
TAOT,ToeSegmentation2,0.8519
TAOT,BasicMotions,1.0
TAOT,Colposcopy,0.3465
TAOT,DistalPhalanxOutlineAgeGroup,0.4
TAOT,ERing,0.9407
TAOT,EyesOpenShut,0.5238
TAOT,FingerMovements,0.54
TAOT,Epilepsy,0.3478
TAOT,JapaneseVowels,0.9622
TAOT,Libras,0.8278
TAOT,NATOPS,0.8611
TAOT,PowerCons,0.9833
TAOT,RacketSports,0.8224
TAOT,UMD,0.7153
TAOT,Wine,0.5
TAOT,SyntheticControl,0.92
TAOT,ProximalPhalanxTW,0.4
TAOT,TwoLeadECG,0.7006
TCOT,BME,0.5867
TCOT,BeetleFly,1.0
TCOT,BirdChicken,0.85
TCOT,Chinatown,0.3236
TCOT,Coffee,0.8571
TCOT,DistalPhalanxOutlineCorrect,0.6714
TCOT,DistalPhalanxTW,0.7444
TCOT,ECG200,0.84
TCOT,FaceFour,0.6333
TCOT,Fungi,0.0
TCOT,GunPoint,0.8333
TCOT,Herring,0.55
TCOT,ItalyPowerDemand,0.8358
TCOT,MoteStrain,0.7971
TCOT,OliveOil,0.6
TCOT,Plane,1.0
TCOT,SmoothSubspace,0.94
TCOT,SonyAIBORobotSurface1,0.7504
TCOT,SonyAIBORobotSurface2,0.766
TCOT,ToeSegmentation2,0.7407
TCOT,BasicMotions,0.075
TCOT,Colposcopy,0.1881
TCOT,DistalPhalanxOutlineAgeGroup,0.73
TCOT,ERing,0.9074
TCOT,EyesOpenShut,0.5
TCOT,FingerMovements,0.49
TCOT,Epilepsy,0.8043
TCOT,JapaneseVowels,0.9676
TCOT,Libras,0.5111
TCOT,NATOPS,0.8222
TCOT,PowerCons,0.8667
TCOT,RacketSports,0.1579
TCOT,UMD,0.8056
TCOT,Wine,0.5741
TCOT,SyntheticControl,0.56
TCOT,ProximalPhalanxTW,0.77
TCOT,TwoLeadECG,0.9298
OTW,BME,0.52
OTW,BeetleFly,1.0
OTW,BirdChicken,0.6
OTW,Chinatown,0.7784
OTW,Coffee,0.9643
OTW,DistalPhalanxOutlineCorrect,0.7143
OTW,DistalPhalanxTW,0.7333
OTW,ECG200,0.91
OTW,FaceFour,0.7333
OTW,Fungi,0.8925
OTW,GunPoint,0.9533
OTW,Herring,0.7
OTW,ItalyPowerDemand,0.9621
OTW,MoteStrain,0.885
OTW,OliveOil,0.8667
OTW,Plane,0.9619
OTW,SmoothSubspace,0.9067
OTW,SonyAIBORobotSurface1,0.6872
OTW,SonyAIBORobotSurface2,0.8678
OTW,ToeSegmentation2,0.8148
OTW,BasicMotions,1.0
OTW,Colposcopy,0.3465
OTW,DistalPhalanxOutlineAgeGroup,0.71
OTW,ERing,0.9407
OTW,EyesOpenShut,0.4762
OTW,FingerMovements,0.58
OTW,Epilepsy,0.7609
OTW,JapaneseVowels,0.9324
OTW,Libras,0.3
OTW,NATOPS,0.7333
OTW,PowerCons,0.8833
OTW,RacketSports,0.7632
OTW,UMD,0.5903
OTW,Wine,0.6481
OTW,SyntheticControl,0.83
OTW,ProximalPhalanxTW,0.77
OTW,TwoLeadECG,0.7349
AWSWD,BME,0.9467
AWSWD,BeetleFly,1.0
AWSWD,BirdChicken,0.85
AWSWD,Chinatown,0.7259
AWSWD,Coffee,1.0
AWSWD,DistalPhalanxOutlineCorrect,0.7429
AWSWD,DistalPhalanxTW,0.7444
AWSWD,ECG200,0.91
AWSWD,FaceFour,0.8
AWSWD,Fungi,0.0
AWSWD,GunPoint,0.9867
AWSWD,Herring,0.5
AWSWD,ItalyPowerDemand,0.9552
AWSWD,MoteStrain,0.9026
AWSWD,OliveOil,0.9
AWSWD,Plane,1.0
AWSWD,SmoothSubspace,0.9067
AWSWD,SonyAIBORobotSurface1,0.7188
AWSWD,SonyAIBORobotSurface2,0.872
AWSWD,ToeSegmentation2,0.8519
AWSWD,BasicMotions,0.25
AWSWD,Colposcopy,0.2574
AWSWD,DistalPhalanxOutlineAgeGroup,0.76
AWSWD,ERing,0.9407
AWSWD,EyesOpenShut,0.5
AWSWD,FingerMovements,0.49
AWSWD,Epilepsy,0.913
AWSWD,JapaneseVowels,0.9432
AWSWD,Libras,0.8611
AWSWD,NATOPS,0.8889
AWSWD,PowerCons,0.9333
AWSWD,RacketSports,0.2829
AWSWD,UMD,0.9167
AWSWD,Wine,0.537
AWSWD,SyntheticControl,0.83
AWSWD,ProximalPhalanxTW,0.81
AWSWD,TwoLeadECG,0.9851
MMOT-subsq,BME,0.95
MMOT-subsq,BeetleFly,1.0
MMOT-subsq,BirdChicken,0.95
MMOT-subsq,Chinatown,0.95
MMOT-subsq,Coffee,1.0
MMOT-subsq,DistalPhalanxOutlineCorrect,0.77
MMOT-subsq,DistalPhalanxTW,0.65
MMOT-subsq,ECG200,0.94
MMOT-subsq,FaceFour,0.91
MMOT-subsq,Fungi,0.98
MMOT-subsq,GunPoint,0.97
MMOT-subsq,Herring,0.703125
MMOT-subsq,ItalyPowerDemand,0.97
MMOT-subsq,MoteStrain,0.87
MMOT-subsq,OliveOil,0.9
MMOT-subsq,Plane,1.0
MMOT-subsq,SmoothSubspace,1.0
MMOT-subsq,SonyAIBORobotSurface1,0.73
MMOT-subsq,SonyAIBORobotSurface2,0.87
MMOT-subsq,ToeSegmentation2,0.93
MMOT-subsq,BasicMotions,0.9
MMOT-subsq,Colposcopy,0.425742574
MMOT-subsq,DistalPhalanxOutlineAgeGroup,0.741007194
MMOT-subsq,ERing,0.859259259
MMOT-subsq,EyesOpenShut,0.571428571
MMOT-subsq,FingerMovements,0.64
MMOT-subsq,Epilepsy,0.724637681
MMOT-subsq,JapaneseVowels,0.891891892
MMOT-subsq,Libras,0.811111111
MMOT-subsq,NATOPS,0.855555556
MMOT-subsq,PowerCons,0.994444444
MMOT-subsq,RacketSports,0.75
MMOT-subsq,UMD,0.861111111
MMOT-subsq,Wine,0.722222222
MMOT-subsq,SyntheticControl,0.96
MMOT-subsq,ProximalPhalanxTW,0.814634146
MMOT-subsq,TwoLeadECG,0.949956102
